Transaction Date,Post Date,Description,Category,Type,Amount,Memo
09/08/2025,09/09/2025,xf/icsee.io,Professional Services,Sale,-3.99,
09/08/2025,09/09/2025,xf/icsee.io,Professional Services,Sale,-3.99,
09/05/2025,09/09/2025,DLOCAL *STARLINK INTERNE,Merchandise & Inventory,Sale,-45.41,
09/04/2025,09/05/2025,ESTACION DE SERVICIO SAN,Gas,Sale,-42.57,
09/02/2025,09/03/2025,SABOR LAS LENAS,Food & Drink,Sale,-3.84,
09/02/2025,09/03/2025,SABOR LAS LENAS,Food & Drink,Sale,-11.52,
09/02/2025,09/03/2025,COMERCIAL HM,Merchandise & Inventory,Sale,-42.66,
09/02/2025,09/03/2025,FERRETERIA MONSERRAT,Repair & Maintenance,Sale,-30.86,
09/02/2025,09/03/2025,PETROBRAS AYOLAS,Gas,Sale,-26.06,
08/31/2025,09/02/2025,SABOR LAS LENAS,Food & Drink,Sale,-2.05,
08/31/2025,09/02/2025,PETROPAR - AYOLAS,Gas,Sale,-51.18,
08/29/2025,08/31/2025,SABOR LAS LENAS,Food & Drink,Sale,-14.77,
08/30/2025,08/31/2025,FOREMAN.MN,Office & Shipping,Sale,-28.80,
08/29/2025,08/31/2025,BR LINAGUA,Gas,Sale,-3.96,
08/29/2025,08/31/2025,FERRETERIA MONSERRAT,Repair & Maintenance,Sale,-11.48,
08/29/2025,08/31/2025,COMERCIAL SAN MIGUEL,Merchandise & Inventory,Sale,-15.69,
08/28/2025,08/29/2025,BR LINAGUA,Gas,Sale,-5.27,
08/28/2025,08/29/2025,SABOR LAS LENAS,Food & Drink,Sale,-15.48,
08/27/2025,08/28/2025,FERRETERIA MONSERRAT,Repair & Maintenance,Sale,-38.29,
08/27/2025,08/28/2025,BR LINAGUA,Gas,Sale,-4.31,
08/27/2025,08/28/2025,FERRETERIA MONSERRAT,Repair & Maintenance,Sale,-17.09,
08/27/2025,08/28/2025,SABOR LAS LENAS,Food & Drink,Sale,-11.08,
08/26/2025,08/27/2025,BR LINAGUA,Gas,Sale,-4.13,
08/26/2025,08/27/2025,SABOR LAS LENAS,Food & Drink,Sale,-10.03,
08/24/2025,08/26/2025,PETROCHACO-ALTOS,Gas,Sale,-44.62,
08/24/2025,08/25/2025,FOREMAN.MN,Office & Shipping,Sale,-474.00,
08/22/2025,08/24/2025,PETROPAR-SAN IGNACIO,Gas,Sale,-10.41,
08/22/2025,08/24/2025,SABOR LAS LENAS,Food & Drink,Sale,-14.76,
08/22/2025,08/24/2025,BR LINAGUA,Gas,Sale,-1.83,
08/21/2025,08/22/2025,BR LINAGUA,Gas,Sale,-4.01,
08/21/2025,08/22/2025,LA MARTINA,Food & Drink,Sale,-15.09,
08/20/2025,08/21/2025,SABOR LAS LENAS,Food & Drink,Sale,-11.40,
08/20/2025,08/21/2025,BR LINAGUA,Gas,Sale,-4.39,
08/19/2025,08/20/2025,SABOR LAS LENAS,Food & Drink,Sale,-7.64,
08/19/2025,08/20/2025,DON BELING,Food & Drink,Sale,-12.37,
08/18/2025,08/19/2025,COMERCIAL HM,Merchandise & Inventory,Sale,-53.05,
08/18/2025,08/19/2025,BR LINAGUA,Gas,Sale,-2.44,
08/18/2025,08/19/2025,SABOR LAS LENAS,Food & Drink,Sale,-15.36,
08/15/2025,08/19/2025,RAPIDITO-QUINDY,Merchandise & Inventory,Sale,-8.79,
08/17/2025,08/18/2025,HOTEL Y RESTAURANTE MARIM,Travel,Sale,-19.54,
08/12/2025,08/13/2025,FOREMAN.MN,Office & Shipping,Sale,-8.80,
08/10/2025,08/12/2025,COMEDOR LUZ,Food & Drink,Sale,-15.85,
08/10/2025,08/12/2025,SUP S6-SANBER,Food & Drink,Sale,-12.59,
08/10/2025,08/12/2025,PETROBRAS LUQUE SB,Gas,Sale,-48.23,
08/08/2025,08/10/2025,xf/icsee.io,Professional Services,Sale,-3.99,
08/08/2025,08/10/2025,xf/icsee.io,Professional Services,Sale,-3.99,
08/05/2025,08/06/2025,DLOCAL *STARLINK INTERNET,Bills & Utilities,Sale,-44.40,
08/04/2025,08/05/2025,COPETROL SHAH 12,Gas,Sale,-40.56,
08/02/2025,08/05/2025,BATUKE,Food & Drink,Sale,-18.44,
08/01/2025,08/03/2025,RAPIDITO-QUINDY,Merchandise & Inventory,Sale,-8.93,
08/01/2025,08/03/2025,BR SAN PATRICIO,Gas,Sale,-40.61,
07/31/2025,08/01/2025,SABOR LAS LENAS,Food & Drink,Sale,-12.47,
07/31/2025,08/01/2025,BR LINAGUA,Gas,Sale,-1.63,
07/30/2025,07/31/2025,SUPER TOTAL,Food & Drink,Sale,-39.51,
07/29/2025,07/30/2025,DON BELING,Food & Drink,Sale,-9.97,
07/29/2025,07/30/2025,COMERCIAL HM,Merchandise & Inventory,Sale,-56.47,
07/29/2025,07/30/2025,BR LINAGUA,Gas,Sale,-2.44,
07/29/2025,07/30/2025,BR LINAGUA,Gas,Sale,-1.83,
07/28/2025,07/29/2025,COPETROL ALTOS,Gas,Sale,-44.32,
07/26/2025,07/29/2025,BATUKE,Food & Drink,Sale,-18.53,
07/25/2025,07/27/2025,SHELL AYOLAS,Gas,Sale,-45.02,
07/25/2025,07/27/2025,SHELL AYOLAS,Gas,Sale,-28.22,
07/24/2025,07/25/2025,BR LINAGUA,Gas,Sale,-4.01,
07/24/2025,07/25/2025,SABOR LAS LENAS,Food & Drink,Sale,-11.62,
07/23/2025,07/24/2025,SABOR LAS LENAS,Food & Drink,Sale,-12.43,
07/24/2025,07/24/2025,FOREMAN.MN,Office & Shipping,Sale,-450.00,
07/23/2025,07/24/2025,BR LINAGUA,Gas,Sale,-3.11,
07/22/2025,07/23/2025,BR LINAGUA,Gas,Sale,-5.09,
07/22/2025,07/23/2025,SABOR LAS LENAS,Food & Drink,Sale,-12.09,
07/20/2025,07/22/2025,SABOR LAS LENAS,Food & Drink,Sale,-2.42,
07/21/2025,07/22/2025,xf/icsee.io,Professional Services,Sale,-3.99,
07/20/2025,07/22/2025,SUP MARIMEX-AYOLAS,Food & Drink,Sale,-33.51,
07/20/2025,07/22/2025,BONITA BAY CONCEPT HOT,Travel,Sale,-55.56,
07/21/2025,07/22/2025,COMERCIAL HM,Merchandise & Inventory,Sale,-21.80,
07/21/2025,07/22/2025,SABOR LAS LENAS,Food & Drink,Sale,-14.40,
07/18/2025,07/20/2025,BR LINAGUA,Gas,Sale,-1.87,
07/18/2025,07/20/2025,SABOR LAS LENAS,Food & Drink,Sale,-13.07,
07/17/2025,07/18/2025,BR LINAGUA,Gas,Sale,-3.12,
